user_id,home_country,avg_transaction_amount,account_age_days
U00000,MX,49.272756529290426,81
U00001,ES,29.647818837043886,531
U00002,CO,55.598200213985756,239
U00003,BR,111.99160186398449,1146
U00004,CO,27.458541909458894,894
U00005,CO,27.45890255833907,221
U00006,CO,117.14005291733655,1064
U00007,MX,61.18779755746944,1179
U00008,CO,22.746709356211415,1360
U00009,BR,51.11346854903766,889
U00010,CO,22.85719267597467,1236
U00011,CO,22.814953976816856,43
U00012,ES,40.18805520439501,356
U00013,BR,7.166201979358323,726
U00014,CO,8.331685144592083,470
U00015,NG,21.11893384219592,719
U00016,CO,14.727774071292107,808
U00017,CO,42.58056234120481,734
U00018,MX,16.015880152883234,118
U00019,BR,10.699072323080351,1128
U00020,CO,106.96685446708956,805
U00021,CO,27.64317769671204,630
U00022,GB,34.953638312076556,1296
U00023,CL,10.59308522542261,770
U00024,MX,21.4236150448371,1472
U00025,CO,36.188379961678656,1384
U00026,CO,13.18665242475466,622
U00027,RU,44.72615326159501,506
U00028,AR,20.48082429344986,808
U00029,CO,26.223212719188098,1331
U00030,AR,20.4633342223667,363
U00031,CO,145.73975739629904,459
U00032,BR,32.75980217032126,1467
U00033,PE,14.208370415706748,1357
U00034,CO,63.94580512359986,1330
U00035,CO,12.469991524533405,531
U00036,CO,39.137883132611044,807
U00037,CO,6.9051250785439855,1340
U00038,BR,11.443835043864038,479
U00039,BR,38.76388401142412,144
U00040,CO,59.78610427650108,95
U00041,GB,37.98132626834265,851
U00042,CO,30.189113343910677,462
U00043,CL,26.026546686400216,1191
U00044,AR,10.147043758109614,674
U00045,CO,18.617921405953297,1052
U00046,CO,22.908063883641482,1346
U00047,US,77.14584960874608,572
U00048,CO,43.59291476042799,1179
U00049,US,8.081422230823515,1227
U00050,US,42.916963850166574,1225
U00051,CO,24.33545098968345,479
U00052,CN,19.268321989992874,313
U00053,US,54.01928060468851,216
U00054,ES,75.55037240787168,254
U00055,CO,69.7574409496291,357
U00056,GB,16.922193435126704,894
U00057,MX,25.858260352238908,818
U00058,CO,43.164169661673995,988
U00059,US,72.27195105638027,1163
U00060,AR,22.570880673626228,53
U00061,BR,28.544743931167563,264
U00062,BR,13.666287322970845,1129
U00063,ES,12.718208422895968,1342
U00064,CO,63.43531072586762,631
U00065,US,98.00240535975516,959
U00066,CO,31.26164362343613,569
U00067,RU,73.90838741350063,395
U00068,US,44.22582170779126,247
U00069,AR,19.764831989660806,641
U00070,AR,44.217316324420324,1069
U00071,MX,113.34420526757611,343
U00072,CO,32.179807794190275,360
U00073,US,115.78267292797362,1116
